,income,num_store_purchases,marital_status
197,80067.0,6,Married
198,86718.0,5,Married
199,46854.0,3,Single
200,69142.0,7,Divorced
201,75922.0,9,Single
202,63693.0,9,Divorced
203,102160.0,10,Together
204,40637.0,3,Single
205,18890.0,2,Single
206,29604.0,3,Together
207,48721.0,5,Divorced
208,44794.0,3,Married
209,64497.0,9,Divorced
210,46097.0,6,Together
211,77972.0,9,Together
212,44377.0,5,Married
213,46014.0,8,Together
214,70951.0,9,Married
215,41443.0,5,Married
216,52195.0,2,Single
217,83790.0,6,Married
218,44551.0,5,Widow
219,69508.0,11,Together
220,45204.0,4,Together
221,72460.0,7,Married
222,77622.0,11,Together
223,30732.0,4,Married
224,63887.0,12,Divorced
225,42011.0,4,Together
226,51369.0,4,Together
227,51537.0,11,Divorced
228,79930.0,8,Married
229,34320.0,2,Together
230,37070.0,8,Single
231,81975.0,4,Divorced
232,38590.0,2,Together
233,15033.0,3,Single
234,62745.0,11,Married
235,22212.0,4,Married
236,23661.0,3,Together
237,79761.0,11,Single
238,7500.0,3,Single
239,60182.0,2,Single
240,73455.0,10,Widow
241,64961.0,4,Together
242,22804.0,2,Single
243,73687.0,9,Married
244,61074.0,8,Married
245,31686.0,3,Married
246,80134.0,6,Married
247,75027.0,6,Married
248,67546.0,5,Married
249,65176.0,6,Together
250,31160.0,3,Single
251,29938.0,3,Single
252,102692.0,13,Divorced
253,26490.0,5,Together
254,75702.0,11,Together
255,30899.0,3,Single
256,63342.0,5,Together
257,45989.0,7,Single
258,18701.0,4,Single
259,40737.0,2,Single
260,15287.0,2,Divorced
261,69674.0,10,Divorced
262,44159.0,6,Married
263,37717.0,2,Married
264,43776.0,4,Together
265,38179.0,3,Married
266,80124.0,8,Married
267,38097.0,2,Married
268,72940.0,6,Married
269,22070.0,2,Together
270,69267.0,5,Single
271,31788.0,4,Single
272,61905.0,4,Together
273,29315.0,4,Married
274,33378.0,4,Divorced
275,66313.0,12,Together
276,60714.0,10,Single
277,77882.0,5,Together
278,69867.0,8,Single
279,63841.0,9,Divorced
280,24480.0,4,Married
281,51369.0,4,Together
282,37760.0,6,Together
283,65640.0,8,Together
284,44319.0,3,Married
285,30631.0,2,Married
286,75278.0,13,Together
287,50898.0,12,Together
288,79946.0,5,Widow
289,35416.0,5,Divorced
290,32414.0,3,Together
291,38361.0,3,Together
292,82497.0,9,Married
293,16626.0,3,Together
294,29672.0,3,Together
295,55951.0,11,Together
296,35388.0,3,Divorced
297,42386.0,3,Together
298,68627.0,6,Single
299,57912.0,12,Divorced
300,35246.0,3,Divorced
301,58821.0,9,Together
302,46377.0,3,Married
303,39747.0,4,Single
304,23976.0,3,Together
305,80950.0,9,Married
306,27038.0,3,Widow
307,77457.0,10,Single
308,64100.0,6,Married
309,42670.0,4,Together
310,12571.0,3,Divorced
311,22574.0,3,Married
312,50898.0,12,Married
313,70893.0,10,Single
314,54198.0,6,Married
315,28839.0,3,Together
316,40321.0,3,Married
317,66503.0,6,Single
318,30833.0,3,Married
319,50898.0,10,Single
320,64795.0,12,Married
321,34421.0,2,Married
322,47025.0,2,Divorced
323,64325.0,5,Divorced
324,40464.0,8,Single
325,62187.0,5,Married
326,14849.0,4,Divorced
327,27255.0,3,Married
328,54432.0,3,Married
329,29999.0,4,Single
330,24072.0,2,Single
331,33996.0,3,Single
332,66334.0,5,Married
333,35178.0,2,Married
334,22010.0,3,Together
335,62204.0,12,Divorced
336,75693.0,6,Divorced
337,30675.0,3,Married
338,83003.0,8,Together
339,83532.0,4,Together
340,68655.0,11,Single
341,41411.0,4,Divorced
342,55212.0,11,Married
343,59292.0,8,Together
344,27190.0,2,Together
345,82623.0,4,Divorced
346,44300.0,3,Married
347,84835.0,6,Divorced
348,30372.0,3,Widow
349,33181.0,2,Married
350,71113.0,9,Married
351,71952.0,8,Married
352,69759.0,5,Single
353,72099.0,10,Married
354,60000.0,5,Single
355,38643.0,3,Single
356,50737.0,4,Married
357,68462.0,8,Married
358,65073.0,5,Married
359,46681.0,4,Together
360,78618.0,10,Married
361,62187.0,10,Widow
362,28442.0,4,Married
363,37717.0,2,Married
364,51479.0,6,Married
365,54803.0,9,Single
366,79530.0,11,Married
367,31615.0,3,Divorced
368,72025.0,8,Together
369,52614.0,8,Single
370,35684.0,3,Married
371,48178.0,4,Married
372,29548.0,2,Single
373,63810.0,12,Single
374,38578.0,3,Single
375,46098.0,2,Single
376,22585.0,2,Single
377,30279.0,3,Single
378,66426.0,10,Together
379,30822.0,3,Single
380,33581.0,2,Married
381,19986.0,3,Married
382,27421.0,6,Widow
383,35688.0,4,Married
384,36143.0,2,Single
385,10245.0,2,Single
386,43795.0,4,Together
387,63381.0,13,Together
388,38823.0,3,Together
389,83664.0,12,Divorced
390,90300.0,8,Together
391,62499.0,6,Together
392,74293.0,6,Single
393,51012.0,4,Married
394,70777.0,12,Married
395,68682.0,10,Together
396,43824.0,4,Married
397,15345.0,2,Together
398,23442.0,3,Single
399,14515.0,3,Together
400,31395.0,3,Divorced
401,75276.0,9,Together
402,42373.0,5,Single
403,30507.0,4,Together
404,55521.0,6,Single
405,48006.0,3,Married
406,27213.0,4,Single
407,65808.0,5,Divorced
408,30351.0,2,Together
409,50437.0,8,Married
410,23616.0,3,Single
411,53858.0,6,Married
412,66465.0,12,Married
413,46923.0,7,Single
414,75072.0,8,Together
415,75865.0,10,Married
416,19789.0,3,Together
417,80134.0,11,Together
418,91065.0,9,Single
419,49505.0,8,Married
420,37401.0,3,Married
421,30096.0,3,Married
422,18492.0,2,Together
423,82584.0,8,Married
424,93027.0,5,Married
425,48686.0,2,Married
426,92910.0,13,Married
427,75433.0,10,Married
428,10404.0,4,Together
429,61314.0,12,Married
430,84865.0,9,Single
431,42387.0,7,Married
432,67309.0,9,Together
433,75236.0,13,Married
434,30015.0,4,Single
435,50943.0,3,Together
436,67272.0,12,Divorced
437,51529.0,5,Widow
438,32011.0,4,Married
439,7500.0,3,Married
440,28691.0,3,Married
441,56223.0,5,Married
442,18100.0,3,Married
443,30279.0,3,Single
444,20130.0,3,Married
445,23295.0,2,Divorced
446,42618.0,4,Divorced
447,81246.0,7,Single
448,24027.0,3,Married
449,55707.0,9,Married
450,57959.0,11,Single
451,56796.0,7,Married
452,36230.0,4,Single
453,70829.0,8,Married
454,65991.0,10,Married
455,38988.0,6,Married
456,89572.0,9,Single
457,42207.0,5,Married
458,50300.0,8,Married
459,66664.0,6,Together
460,60597.0,8,Married
461,70165.0,11,Widow
462,50520.0,3,Widow
463,80124.0,8,Married
464,33183.0,3,Married
465,66582.0,9,Single
466,75261.0,5,Together
467,31880.0,2,Widow
468,53790.0,8,Married
469,49269.0,12,Together
470,61456.0,13,Married
471,37406.0,2,Married
472,56937.0,9,Together
473,38415.0,3,Married
474,20518.0,2,Single
475,62503.0,11,Married
476,41644.0,3,Single
477,55842.0,8,Married
478,62010.0,7,Married
479,41124.0,4,Married
480,38961.0,2,Married
481,37760.0,3,Divorced
482,32233.0,2,Single
483,43057.0,5,Married
484,83151.0,4,Together
485,78825.0,13,Divorced
486,65104.0,7,Together
487,60093.0,10,Married
488,14045.0,3,Married
489,28457.0,4,Widow
490,78952.0,12,Together
491,46310.0,5,Divorced
492,76005.0,13,Together
493,58308.0,3,Single
494,55614.0,6,Divorced
495,59432.0,11,Divorced
496,55563.0,3,Divorced
497,78642.0,4,Together
498,67911.0,11,Together
499,65275.0,13,Married
